judul,clean_text,dataset,file,row_id
"Analisis Kualitatif Kandungan Kimia dan Isolasi Kandungan Kimia Utama ""Daun Dewa"" (Gynura procumbens (Lour.) Merr.) dengan Metode Kromatografi Lapis Tipis",analisis kualitatif kandung kimia isolasi kandung kimia utama daun dewa gynura procumbens lour merr metode kromatografi lapis tipis,etd_ugm,etd_ugm.csv,26
Persepsi Terhadap Apoteker dan Pemanfataan Apotek: Penelitian Kualitatif Pada Masyarakat di Kota Palembang,persepsi apoteker pemanfataan apotek teliti kualitatif masyarakat kota palembang,etd_ugm,etd_ugm.csv,27
Pengaruh Penggunaan Perangkat Lunak Audit terhadap Dampak atas  Pembelajaran Persepsian Audit Sistem Informasi Mahasiswa Akuntansi FEB UGM,pengaruh guna perangkat lunak audit dampak ajar persepsi audit sistem informasi mahasiswa akuntansi feb ugm,etd_ugm,etd_ugm.csv,28
RESPON KLINIS KAMBING KACANG (Capra aegagrus hircus) TERHADAP APLIKASI GLISEROL SECARA ORAL DRENCHING,respon klinis kambing kacang capra aegagrus hircus aplikasi gliserol oral drenching,etd_ugm,etd_ugm.csv,29
Skor Systemic Inflammation Response Index (SIRI) sebagai Faktor Kesintasan 1 Tahun Pada Karsinoma Sel Hati di RSUp Dr. Sardjito Yogyakarta,skor systemic inflammation response index siri faktor sintas karsinoma sel hati rsup dr sardjito yogyakarta,etd_ugm,etd_ugm.csv,30
"Analisis Genom Bakteri Lysinibacillus  sphaericus Patogenik terhadap Larva Nyamuk Culex quinquefasciatus Say, 1823 (Diptera: Culicidae)",analisis genom bakteri lysinibacillus sphaericus patogenik larva nyamuk culex quinquefasciatus say diptera culicidae,etd_ugm,etd_ugm.csv,31
LOAN LOSS PROVISIONING BEHAVIOR OF INDONESIAN CONVENTIONAL BANKS LISTED IN JAKARTA STOCK EXCHANGE,loan loss provisioning behavior indonesian conventional banks listed jakarta stock exchange,etd_ugm,etd_ugm.csv,32
PERANCANGAN SISTEM IRIGASI TETES OTOMATIS BERBASIS TEKNOLOGI LoRa (Long Range) SKALA PEKARANGAN DALAM PENGEMBANGAN SMART IRRIGATION SYSTEM,ancang sistem irigasi tetes otomatis bas teknologi lora long range skala pekarang kembang smart irrigation,etd_ugm,etd_ugm.csv,33
URGENSI PERSIDANGAN ELEKTRONIK DALAM PERATURAN MAHKAMAH AGUNG NOMOR 4 TAHUN 2020 DITINJAU DARI ASAS PENYELENGGARAAN PERADILAN PIDANA,urgensi sidang elektronik atur mahkamah agung nomor tinjau asas selenggara adil pidana,etd_ugm,etd_ugm.csv,34
ANALISIS STAKEHOLDER  UNTUK PENGELOLAAN SUMBERDAYA HUTAN  Studi di Desa Pakah Kecamatan Mantingan Kabupaten Ngawi RPH Pakah BKPH Kedungbanteng KPH Ngawi,analisis stakeholder kelola sumberdaya hutan studi desa pakah camat mantingan kabupaten ngawi rph pakah bkph kedungbanteng kph ngawi,etd_ugm,etd_ugm.csv,35
PERSEPSI MAHASISWA SASTRA DAN BAHASA JEPANG TENTANG  KENDALA-KENDALA YANG DIHADAPI SAAT MENGIKUTI  PERTUKARAN MAHASISWA DI JEPANG,persepsi mahasiswa sastra bahasa jepang kendalakendala hadap ikut tukar mahasiswa jepang,etd_ugm,etd_ugm.csv,36
Study on Cubic and Monoclinic Crystallographic Zirconia,study cubic monoclinic crystallographic zirconia,etd_ugm,etd_ugm.csv,37
Penggunaan Modal Sosial Masyarakat Adat Bonokeling Untuk Mencapai Kepuasan Hidup,guna modal sosial masyarakat adat bonokeling capai puas hidup,etd_ugm,etd_ugm.csv,38
"Pemodelan 3 Dimensi Fasies Distributary Channel Interval 'X' dan 'Y', Grup Balikpapan, Lapangan 'ADIS' Cekungan Kutai, Kalimantan Timur",model dimensi fasies distributary channel interval x y grup balikpapan lapang adis cekung kuta kalimantan timur,etd_ugm,etd_ugm.csv,39
Perencanaan Kawasan Perkotaan Jatisrono sebagai Kawasan Pertumbuhan Kabupaten Wonogiri Bagian Timur dengan Pendekatan Commercial Center Planning,rencana kawasan kota jatisrono kawasan tumbuh kabupaten wonogiri timur dekat commercial center planning,etd_ugm,etd_ugm.csv,40
Potensi mata air semen untuk air minum di kota Rembang,potensi mata air semen air minum kota rembang,etd_ugm,etd_ugm.csv,41
