judul,clean_text,dataset,file,row_id
Teleskop Webb Menangkap Gema Cahaya di Jaring Debu Antarbintang,teleskop webb tangkap gema cahaya jaring debu antarbintang,kompas,kompas.csv,43
"Daftar 11 Korban Tewas Ledakan Pemusnahan Amunisi di Garut, Termasuk 2 Perwira TNI",daftar korban tewas ledak musnah amunisi garut perwira tni,kompas,kompas.csv,44
Ketika Tembok Benteng Keraton Kartasura Dijebol Karena Dianggap Habiskan Kas RT,tembok benteng keraton kartasura jebol anggap habis kas rt,kompas,kompas.csv,45
"Alaves Klub Sederhana Bermimpi Besar, Pantau Bakat sampai Indonesia",alaves klub sederhana mimpi pantau bakat indonesia,kompas,kompas.csv,46
Pembangunan Infrastruktur Tahap II IKN Masuk Proses Lelang,bangun infrastruktur tahap ii ikn masuk proses lelang,kompas,kompas.csv,47
Raline Shah Andalkan Tubuh Sehat untuk Dapatkan Kulit yang Cantik,raline shah andal tubuh sehat dapat kulit cantik,kompas,kompas.csv,48
"Kisah Ines, Tempuh Perjalanan dari Papua ke Surabaya agar Bisa Ikut UTBK 2025",kisah ines tempuh jalan papua surabaya utbk,kompas,kompas.csv,49
"Gugatan Posan Tobing terhadap Band KotaK Gugur, Emosi Dilampiaskan di Media Sosial",gugat pos tobing band kotak gugur emosi lampias media sosial,kompas,kompas.csv,50
"Liam Gallagher Akan Jadi Kakek, Putrinya Umumkan Kehamilan Pertama",liam gallagher kakek putri umum hamil,kompas,kompas.csv,51
"Gunung Paektu Masuk Geopark Global UNESCO, Tempat Legendaris di Korea Utara",gunung paektu masuk geopark global unesco legendaris korea utara,kompas,kompas.csv,52
Cara Membuat Sambal Bawang Enak Tanpa Tomat,sambal bawang enak tomat,kompas,kompas.csv,53
"Diterima di 13 Kampus Top Dunia, Ini Sederet Prestasi M. Hammam Arfianda",terima kampus dunia deret prestasi m hammam arfianda,kompas,kompas.csv,54
"Hasil Sprint Race MotoGP Perancis 2025, Marc Marquez Perkasa",hasil sprint race motogp perancis marc marquez perkasa,kompas,kompas.csv,55
"HP Gaming ZTE Nubia Red Magic 10 Air Resmi, Bodi Tipis dan Punya Pendingin Canggih",hp gaming zte nubia red magic air resmi bodi tipis dingin canggih,kompas,kompas.csv,56
"Tak Terima Diberi Rp 5.000, Jukir Liar di Penjaringan Rampas E-Toll Korban",terima rp jukir liar jaring rampas etoll korban,kompas,kompas.csv,57
Taiwan Technical Mission Fasilitasi Petani Buka Saluran Penjualan Langsung ke Konsumen,taiwan technical mission fasilitas tani buka salur jual langsung konsumen,kompas,kompas.csv,58
